name,country_code,official_name,capital,narrative,tel_code,voltage,plug_types,key_orgs,hdx_url,inform_url,inform_index,lca_url,tampere_sig,Population (2016),GDP Per Capita (2016),Fixed Line Telephony Subscribers,Mobile Subscribers,Broadband Subscribers,%Fixed Line Subscribers,%Mobile Subscribers,%Broadband Subscribers
Anguilla,AIA,Anguilla,The Valley,https://en.wikipedia.org/wiki/Anguila,1264,110V/60Hz,A,"Flow,Digicel,""Ministry of Infrastructure, Communications, Utilitie and Housing"",Microsoft Trinidad and Tobago,C&W Business",https://data.humdata.org/group/AIA,http://www.inform-index.org/Portals/0/Inform/2018/country_profiles/AIA.pdf,,https://logcluster.org/countries/AIA,0,15500,"$13,700 ",6070,27120,2200,39.20%,175.00%,14.20%
Antigua and Barbuda,ATG,Antigua and Barbuda,St. John's,,1268,230V/60Hz,"A,B","Flow,Digicel,Apua,""Ministry of Telecommunications, Science and Technology"",Microsoft Trinidad and Tobago,C&W Business",https://data.humdata.org/group/ATG,http://www.inform-index.org/Portals/0/Inform/2018/country_profiles/ATG.pdf,2.1,https://logcluster.org/countries/ATG,0,9000,"$14,430 ",10200,186000,18300,113.30%,2066.70%,203.30%
Aruba,ABW, Kingdom of the Netherlands,Oranjestad,"Aruba is an island and a constituent country of the Kingdom of the Netherlands in the southern Caribbean Sea, located about 1,600 kilometres (990 mi) west of the main part of the Lesser Antilles and 29 kilometres (18 mi) north of the coast of Venezuela. Aruba is one of the four countries that form the Kingdom of the Netherlands, along with the Netherlands, Curaçao, and Sint Maarten; the citizens of these countries are all Dutch nationals. Aruba has no administrative subdivisions, but, for census purposes, is divided into eight regions. ",297,127V/50Hz,"A,B,F","Digicel,Setar,MIO,""Ministry of Transport, Communications and Primary Sector"",Microsoft Trinidad and Tobago",https://data.humdata.org/group/ABW,http://www.inform-index.org/Portals/0/Inform/2018/country_profiles/ABW.pdf,,https://logcluster.org/countries/ABW,1,108000,"$24,200 ",,143200,19250,0.00%,132.60%,17.80%
Bahamas,BHS,Commonwealth of The Bahamas,Nassau,,1242,120V/60Hz,"A,B","BTC Bahamas,ALIV,Batelnet,Utilities Regulation and Competition Authority,Cable Bahamas,Bahamas WiMax",https://data.humdata.org/group/BHS,http://www.inform-index.org/Portals/0/Inform/2018/country_profiles/BHS.pdf,3.2,https://logcluster.org/countries/BHS,0,313900,"$24,560 ",115000,315000,94600,36.60%,100.40%,30.10%
Barbados,BRB,,Bridgetown,,1246,115V/50Hz,"A,B","Flow,Digicel,Ozone Wireless,Fair Trading Commission,Microsoft Trinidad and Tobago,UNICEF,C&W Business",https://data.humdata.org/group/BRB,http://www.inform-index.org/Portals/0/Inform/2018/country_profiles/BRB.pdf,1.6,https://logcluster.org/countries/BRB,1,292000,"$15,950 ",158850,335000,81050,54.40%,114.70%,27.80%
Bermuda,BMU,Bermuda,Hamilton,,1441,120V/60Hz,"A,B","One Communications,Digicel,Fort Knox Bermuda,Microsoft Trinidad and Tobago,TeleBermuda",https://data.humdata.org/group/BMU,http://www.inform-index.org/Portals/0/Inform/2018/country_profiles/BMU.pdf,,https://logcluster.org/countries/BMU,0,77000,"$84,900 ",16700,46700,34600,21.70%,60.60%,44.90%
Bonaire,BES,Kingdom of the Netherlands,Kralendijk,,5997,"127V/50Hz,220V/50Hz","A,B,C,F","Digicel,Bureau Telecomunications en Post,Telbo,Kla Mobile",https://data.humdata.org/group/BES,http://www.inform-index.org/Portals/0/Inform/2018/country_profiles/BES.pdf,,https://logcluster.org/countries/BES,1,,,,,,,,
British Virgin Islands,VGB,Virgin Islands,Road Town,,1284,110V/60Hz,"A,B","Flow,Digicel,BVI Telecommunications Regulatory Commission,C&W Business,British Virgin Islands IXP",https://data.humdata.org/group/VGB,http://www.inform-index.org/Portals/0/Inform/2018/country_profiles/VGB.pdf,,https://logcluster.org/countries/VGB,0,2600,"$31,700 ",11850,63300,7320,455.80%,2434.60%,281.50%
Cayman Islands,CYM,,George Town,,1345,120V/60Hz,"A,B","Flow,Digicel,Microsoft Trinidad and Tobago,TeleCayman,Utility  Regulation  and  Competition  Office (OfReg),C&W Business,Logic Communications",https://data.humdata.org/group/CYM,http://www.inform-index.org/Portals/0/Inform/2018/country_profiles/CYM.pdf,,https://logcluster.org/countries/CYM,0,57500,"$47,300 ",34110,95650,24530,59.30%,166.30%,42.70%
Cuba,CUB,Republic of Cuba,Havana,,53,110V/60Hz,"A,B","ETESCA,World Food Program,UNICEF,NAP de Cuba,Ministry of Informatics and Communications,Intelsat,NewCom International",https://data.humdata.org/group/CUB,http://www.inform-index.org/Portals/0/Inform/2018/country_profiles/CUB.pdf,2.6,https://logcluster.org/countries/CUB,0,11200000,"$8,140 ",1340000,4590000,18900,12.00%,41.00%,0.20%
